eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag
0.3,0.1,lambda-mass_disk1,0.8158422971580324,50.0,0.7898550610092875
0.3,0.1,lambda-mass_disk2,0.819316187950254,0.0,0.819316187950254
0.4,0.1,lambda-rmin1,-0.142468728174914,830.0,-0.016461419028534232
0.4,0.1,lambda-rmin2,-0.15959981508363233,-210.0,-0.09819661995139538
0.4,0.1,lambda-mdot1,0.4375590199494528,1000.0,0.29366927225282985
0.4,0.1,lambda-mdot2,0.45322404491833873,0.0,0.45322404491833873
0.4,0.1,rmin1-rmin2,0.15228380293529484,0.0,0.15228380293529484
0.4,0.1,mdot1-mdot2,0.985365171436093,-30.0,0.9845678169550632
0.4,0.1,mdot1-rmin1,-0.18747549782736211,990.0,-0.040562513402091195
0.4,0.1,mdot1-rmin2,-0.23037022768679108,-810.0,-0.18852277747910456
0.4,0.1,mdot2-rmin1,-0.1838866706362548,1000.0,-0.039647985267919905
0.4,0.1,mdot2-rmin2,-0.23049084168949216,-740.0,-0.192986800944559
0.4,0.1,lambda-alpha1,0.21895490016625807,-610.0,-0.1273735768997569
0.4,0.1,lambda-alpha2,0.17227173386224554,0.0,0.17227173386224554
0.4,0.1,lambda-mass_disk1,0.44750022311240084,970.0,0.32123653918168976
0.4,0.1,lambda-mass_disk2,0.45194958911419514,950.0,0.37142024217805014
0.5,0.1,lambda-rmin1,0.37804431463028343,-850.0,0.33707417187510325
0.5,0.1,lambda-rmin2,-0.2274591574196214,-210.0,-0.19311407363507457
0.5,0.1,lambda-mdot1,0.8144430387579229,980.0,0.5176841893952017
0.5,0.1,lambda-mdot2,0.8356685469109515,960.0,0.6258352980970708
0.5,0.1,rmin1-rmin2,-0.179852368817415,510.0,0.028897518580098314
0.5,0.1,mdot1-mdot2,0.9914099991284616,480.0,0.9908253839331777
0.5,0.1,mdot1-rmin1,0.2506557161883908,-910.0,-0.02986999369352783
0.5,0.1,mdot1-rmin2,-0.24679870113560737,-960.0,-0.13067534836357456
0.5,0.1,mdot2-rmin1,0.282851520582462,-920.0,0.027696530312202882
0.5,0.1,mdot2-rmin2,-0.2523962981973191,-1000.0,-0.1485372750686248
0.5,0.1,lambda-alpha1,-0.4494886458647988,530.0,-0.31515463066832605
0.5,0.1,lambda-alpha2,0.3221579733036652,-680.0,0.22127925380518088
0.5,0.1,lambda-mass_disk1,0.8117778515938006,980.0,0.5035882534116474
0.5,0.1,lambda-mass_disk2,0.8285373343706864,960.0,0.6002264851274722
0.6,0.1,lambda-rmin1,0.12438989234352701,-990.0,0.019078029794850206
0.6,0.1,lambda-rmin2,-0.21309840759957513,-890.0,-0.0395214742874793
0.6,0.1,lambda-mdot1,0.5150314348907847,-110.0,0.4942513245792582
0.6,0.1,lambda-mdot2,0.5482365819589816,0.0,0.5482365819589816
0.6,0.1,rmin1-rmin2,0.6649261056894583,0.0,0.6649261056894583
0.6,0.1,mdot1-mdot2,0.9978171016216054,0.0,0.9978171016216054
0.6,0.1,mdot1-rmin1,0.2620427445614074,-990.0,0.1692734947427709
0.6,0.1,mdot1-rmin2,-0.31088734548641717,-900.0,-0.2613201766989595
0.6,0.1,mdot2-rmin1,0.26322317400226763,-990.0,0.16729378644406762
0.6,0.1,mdot2-rmin2,-0.312034402612982,-910.0,-0.2540576728773296
0.6,0.1,lambda-alpha1,-0.3964110670844647,0.0,-0.3964110670844647
0.6,0.1,lambda-alpha2,-0.12423925702562835,-860.0,0.06999710393861164
0.6,0.1,lambda-mass_disk1,0.5241863599508506,-110.0,0.5097563464849484
0.6,0.1,lambda-mass_disk2,0.5315773335702314,0.0,0.5315773335702314
0.8,0.1,lambda-rmin1,0.19645786932513024,-550.0,-0.12332377322227289
0.8,0.1,lambda-rmin2,0.2878668238578689,-550.0,0.0789132876141586
0.8,0.1,lambda-mdot1,-0.7337971500353854,0.0,-0.7337971500353854
0.8,0.1,lambda-mdot2,-0.4041113118055117,50.0,0.06273921285229891
0.8,0.1,rmin1-rmin2,0.23812964274545076,0.0,0.23812964274545076
0.8,0.1,mdot1-mdot2,0.7923774045455954,-40.0,0.6251395446192946
0.8,0.1,mdot1-rmin1,-0.15851070022150185,-910.0,0.050978447909565426
0.8,0.1,mdot1-rmin2,-0.2828098184906747,-940.0,-0.18452579072108155
0.8,0.1,mdot2-rmin1,-0.209451085835029,-890.0,-0.07042969888566793
0.8,0.1,mdot2-rmin2,-0.3348499578519496,-900.0,-0.18746979302608952
0.8,0.1,lambda-alpha1,0.34569217591171886,0.0,0.34569217591171886
0.8,0.1,lambda-alpha2,0.18336669751696183,190.0,-0.07796983967852138
0.8,0.1,lambda-mass_disk1,-0.5805113917503782,0.0,-0.5805113917503782
0.8,0.1,lambda-mass_disk2,-0.41501206641813093,-290.0,-0.2518559814692481
0.0,0.2,lambda-rmin1,0.09909941533594553,-510.0,0.0671606838282693
0.0,0.2,lambda-rmin2,0.06152698657893326,500.0,0.009146480358030585
0.0,0.2,lambda-mdot1,-0.5027762336489306,-640.0,-0.4315353021123251
0.0,0.2,lambda-mdot2,-0.49577905415878765,-600.0,-0.17632207638152148
