eb,qb,T_r2,conf_r2,T_lam,conf_lam,n_lam_peaks,n_r1_troughs,n_r2_troughs,phi_r1,phi_r2,lag_r1,lag_r2,n_matches_r1,n_matches_r2
0.4,0.6,778.8888888888889,156.57851016075819,778.8888888888889,131.94660040498187,21,45,15,41.59771754636233,64.70756062767475,90.0,140.0,21,21
0.5,0.6,250.35714285714283,23.400672891219248,250.35714285714283,41.77156542615624,44,73,56,71.89728958630528,71.89728958630528,50.0,50.0,44,44
0.6,0.6,584.1666666666667,284.4195846794221,584.1666666666667,253.30137500753497,11,12,11,268.0741797432239,55.46362339514978,435.0,90.0,10,11
0.8,0.6,269.61538461538464,427.92175958704394,269.61538461538464,235.71635830113135,27,26,26,267.04707560627674,80.11412268188302,200.0,60.0,26,26
0.0,0.7,292.08333333333337,154.336827508753,125.17857142857142,9.04665045484074,75,47,49,110.92724679029956,98.60199714693293,90.0,80.0,75,75
0.1,0.7,539.2307692307693,35.188086696791146,539.2307692307693,153.12618721539414,15,30,38,106.81883024251069,26.70470756062767,160.0,40.0,15,15
0.2,0.7,132.26415094339623,12.218780881646556,49.36619718309859,9.780140536684367,97,81,80,136.0912981455064,81.65477888730385,50.0,30.0,97,96
0.3,0.7,64.9074074074074,7.685826405002144,58.416666666666664,7.430349806459916,89,82,93,277.3181169757489,166.39087018544936,50.0,30.0,83,83
0.4,0.7,637.2727272727273,64.70585921872532,637.2727272727273,63.713933436506046,34,53,27,48.017118402282456,56.49072753209701,85.0,100.0,34,32
0.5,0.7,318.6363636363636,104.11777227255523,304.7826086956522,90.26886087225624,42,33,25,135.57774607703283,90.3851640513552,120.0,80.0,40,41
0.6,0.7,467.3333333333333,471.8991065261619,467.3333333333333,518.6578567109029,15,14,15,234.9500713266762,61.6262482168331,305.0,80.0,14,15
0.8,0.7,280.4,208.3369488799343,280.4,203.48533625385767,25,25,25,243.93723252496437,77.03281027104138,190.0,60.0,25,25
0.0,0.8,280.4,131.6245113863352,97.36111111111111,11.161216873817828,77,43,45,115.54921540656206,115.54921540656206,90.0,90.0,75,76
0.1,0.8,539.2307692307693,51.38533457218433,539.2307692307693,150.89568376318445,15,31,35,43.39514978601997,40.05706134094151,65.0,60.0,14,15
0.2,0.8,1402.0,10.865646725916525,50.79710144927536,7.87304464088853,101,84,87,12.83880171184023,5.1355206847360915,50.0,20.0,101,100
0.3,0.8,500.71428571428567,7.003384021270518,2336.666666666667,9.149179290237095,67,74,62,35.94864479315264,35.94864479315264,50.0,50.0,67,67
0.4,0.8,876.25,46.91827292709751,876.25,67.89405190069677,36,59,37,24.65049928673324,39.02995720399429,60.0,95.0,36,36
0.5,0.8,368.9473684210526,685.7438021780773,368.9473684210526,486.0172217579441,30,19,18,29.272467902995725,195.1497860199715,30.0,200.0,30,29
0.6,0.8,389.44444444444446,618.7589820903808,389.44444444444446,444.26927112110786,17,17,18,286.5620542082739,101.6833095577746,310.0,110.0,16,17
0.8,0.8,259.6296296296296,166.06430759450072,259.6296296296296,244.0346099910278,27,26,27,249.58630527817405,69.32952924393723,180.0,50.0,26,27
0.0,0.9,280.4,165.83026766492512,637.2727272727273,8.866743724010394,82,40,40,115.54921540656206,109.12981455064195,90.0,85.0,81,80
0.1,0.9,500.71428571428567,63.95572075351084,500.71428571428567,156.51393969292184,16,35,37,50.328102710413695,28.758915834522114,70.0,40.0,15,15
