eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag,found
0.1,0.5,lambda-rmin1,-0.7642056661427958,0.0,-0.7642056661427958,True
0.1,0.5,lambda-rmin2,0.5005753603852622,0.0,0.5005753603852622,True
0.2,0.5,lambda-rmin1,-0.2858870658955762,-10.0,-0.16438375010037126,False
0.2,0.5,lambda-rmin2,0.30062894722152084,0.0,0.30062894722152084,True
0.3,0.5,lambda-rmin1,-0.31708074474902326,-10.0,-0.23855954556482073,True
0.3,0.5,lambda-rmin2,-0.12699492812689997,0.0,-0.12699492812689997,False
0.4,0.5,lambda-rmin1,0.31476836292764027,-10.0,0.3097840845105087,True
0.4,0.5,lambda-rmin2,0.8716448157374322,30.0,0.8235499667212356,True
0.5,0.5,lambda-rmin1,-0.1393753268533482,-200.0,0.008595124383497089,False
0.5,0.5,lambda-rmin2,-0.22461432479659688,-140.0,-0.16833492550662316,False
0.6,0.5,lambda-rmin1,-0.6506026782469085,30.0,-0.5986695550001423,True
0.6,0.5,lambda-rmin2,0.8908256137445771,50.0,0.7281709576940624,True
0.8,0.5,lambda-rmin1,0.8762802692973772,-50.0,-0.20524118269433697,True
0.8,0.5,lambda-rmin2,-0.7954299997670808,-60.0,-0.10769273581657365,True
0.0,0.6,lambda-rmin1,0.12085729659480769,200.0,0.08150153832187577,False
0.0,0.6,lambda-rmin2,-0.12239072047143058,140.0,0.05977803335432154,False
0.1,0.6,lambda-rmin1,-0.7641918871278076,0.0,-0.7641918871278076,True
0.1,0.6,lambda-rmin2,0.5042496676275328,0.0,0.5042496676275328,True
0.2,0.6,lambda-rmin1,-0.3253465989654362,-10.0,-0.2919773758836484,True
0.2,0.6,lambda-rmin2,0.4915960029075899,0.0,0.4915960029075899,True
0.3,0.6,lambda-rmin1,-0.21466102623394645,-10.0,-0.13738600743822227,False
0.3,0.6,lambda-rmin2,-0.1574710123766706,-30.0,0.06712386305670509,False
0.4,0.6,lambda-rmin1,-0.12897263044813886,-180.0,0.11545807958705814,False
0.4,0.6,lambda-rmin2,0.7548716639950899,90.0,0.47255890672303236,True
0.5,0.6,lambda-rmin1,-0.19009757657505458,0.0,-0.19009757657505458,False
0.5,0.6,lambda-rmin2,0.4381345318970498,30.0,0.3872802807734207,True
0.6,0.6,lambda-rmin1,-0.7381621507175314,40.0,-0.6102399743501791,True
0.6,0.6,lambda-rmin2,0.912345163644267,60.0,0.6228187778052672,True
0.8,0.6,lambda-rmin1,0.8595721991276996,-60.0,-0.10802734181142852,True
0.8,0.6,lambda-rmin2,-0.7876005537454551,-60.0,-0.1815098145447948,True
0.0,0.7,lambda-rmin1,0.06236168967330691,-20.0,0.015468229199476428,False
0.0,0.7,lambda-rmin2,0.06818021654799368,-160.0,0.012093626088839793,False
0.1,0.7,lambda-rmin1,-0.7494609123703759,0.0,-0.7494609123703759,True
0.1,0.7,lambda-rmin2,0.5352361753330465,-10.0,0.5156276867866033,True
0.2,0.7,lambda-rmin1,0.341736569160315,20.0,-0.11434373487067294,True
0.2,0.7,lambda-rmin2,0.39181382699568146,0.0,0.39181382699568146,True
0.3,0.7,lambda-rmin1,-0.4476756378580613,-10.0,-0.23951870121967941,True
0.3,0.7,lambda-rmin2,0.45116832326020023,0.0,0.45116832326020023,True
0.4,0.7,lambda-rmin1,-0.17796697615415413,60.0,-0.015610213345387761,False
0.4,0.7,lambda-rmin2,0.49743475554423283,80.0,0.20333272651517387,True
0.5,0.7,lambda-rmin1,-0.5215432618646363,40.0,-0.396233086345749,True
0.5,0.7,lambda-rmin2,0.6576373867104208,40.0,0.46270209593088746,True
0.6,0.7,lambda-rmin1,-0.773691692046769,70.0,-0.6045238182915845,True
0.6,0.7,lambda-rmin2,0.9237368952520029,60.0,0.5560499669924958,True
0.8,0.7,lambda-rmin1,0.8679627534091551,-60.0,0.07867798281704261,True
0.8,0.7,lambda-rmin2,-0.7980535444919606,-60.0,-0.19015874894632515,True
0.0,0.8,lambda-rmin1,0.10321973406337022,200.0,0.030252203366700293,False
0.0,0.8,lambda-rmin2,0.08361976845333471,60.0,-0.008737967259512409,False
0.1,0.8,lambda-rmin1,-0.6890832482846151,0.0,-0.6890832482846151,True
0.1,0.8,lambda-rmin2,0.6388111467316264,-10.0,0.636817897385576,True
0.2,0.8,lambda-rmin1,0.40002680249387085,20.0,-0.22320766082734186,True
0.2,0.8,lambda-rmin2,0.390912090674274,0.0,0.390912090674274,True
0.3,0.8,lambda-rmin1,0.2832725842481774,-30.0,-0.022899904683178558,False
0.3,0.8,lambda-rmin2,-0.18896185937269772,-30.0,-0.07965026503377402,False
0.4,0.8,lambda-rmin1,0.20780208237742565,-80.0,0.0038404753540100815,False
0.4,0.8,lambda-rmin2,0.347877586847613,100.0,0.0814747136669042,True
0.5,0.8,lambda-rmin1,-0.778723393000412,40.0,-0.6728761121585562,True
0.5,0.8,lambda-rmin2,0.8822665965070842,30.0,0.6963709392464208,True
0.6,0.8,lambda-rmin1,-0.8226852858515346,60.0,-0.5933202297364065,True
0.6,0.8,lambda-rmin2,0.9404819954644161,60.0,0.522068135063588,True
0.8,0.8,lambda-rmin1,0.9061907325881232,-50.0,0.21957816931956742,True
0.8,0.8,lambda-rmin2,-0.8323076407163568,-50.0,-0.19186285352032562,True
