eb,qb,T,peakC,lag_taub,phase_deg
0.0,0.1,438.125,0.023524860582639955,210.0,172.55349500713265
0.1,0.1,194.72222222222223,0.19935434716639305,20.0,36.975748930099854
0.2,0.1,81.51162790697674,-0.2221512742018046,0.0,0.0
0.3,0.1,300.0,-0.03693447782548834,-10.0,-12.0
0.4,0.1,280.4,-0.01645428864842709,-40.0,-51.35520684736092
0.5,0.1,77.03296703296704,-0.14301046448930957,70.0,327.132667617689
0.6,0.1,300.0,-0.01683036296720363,40.0,48.0
0.8,0.1,300.0,0.18423340847542463,60.0,72.0
0.0,0.2,212.42424242424244,0.05950435015675882,60.0,101.68330955777459
0.1,0.2,1001.4285714285713,0.16608946926267606,-250.0,-89.8716119828816
0.2,0.2,300.0,0.08938224821005496,-20.0,-24.0
0.3,0.2,300.0,0.2550530721150062,-100.0,-120.0
0.4,0.2,300.0,0.12270494361382776,-50.0,-60.0
0.5,0.2,300.0,-0.023994500389497773,150.0,180.0
0.6,0.2,300.0,-0.012324776601233756,30.0,36.0
0.8,0.2,300.0,0.049732468314087744,20.0,24.0
0.0,0.3,304.7826086956522,0.041631118986588715,40.0,47.24679029957204
0.1,0.3,876.25,0.10277479780817765,140.0,57.51783166904422
0.2,0.3,300.0,0.4655518315781706,10.0,12.0
0.3,0.3,539.2307692307693,0.09722117466445368,90.0,60.08559201141227
0.4,0.3,91.03896103896105,0.1085644335264985,-10.0,-39.5435092724679
0.5,0.3,104.62686567164178,0.028934611718102007,20.0,68.81597717546363
0.6,0.3,78.76404494382022,0.027865136801089995,-70.0,-319.9429386590585
0.8,0.3,350.5,0.3047719061372511,-170.0,-174.60770328102709
0.0,0.4,304.7826086956522,0.11642383232597571,110.0,129.9286733238231
0.1,0.4,778.8888888888889,0.2856238553094852,-10.0,-4.621968616262482
0.2,0.4,300.0,0.015029192175670787,0.0,0.0
0.3,0.4,54.34108527131783,-0.10704236850143171,-20.0,-132.49643366619117
0.4,0.4,300.0,0.10424319963471261,30.0,36.0
0.5,0.4,53.10606060606061,0.048175551883840005,-10.0,-67.7888730385164
0.6,0.4,103.08823529411765,0.08245649628331035,-70.0,-244.45078459343793
0.8,0.4,333.8095238095238,0.81844219015225,80.0,86.27674750356634
0.0,0.5,304.7826086956522,0.06598236687614448,140.0,165.36376604850213
0.1,0.5,701.0,0.5005753603852622,0.0,0.0
0.2,0.5,300.0,0.30062894722152084,0.0,0.0
0.3,0.5,55.19685039370079,0.07209603066852024,40.0,260.8844507845934
0.4,0.5,300.0,0.8724924904026603,60.0,72.0
0.5,0.5,1168.3333333333335,-0.1451226862999136,-170.0,-52.38231098430813
0.6,0.5,1168.3333333333335,0.8908256137445771,50.0,15.40656205420827
0.8,0.5,280.4,0.7767453884814844,70.0,89.8716119828816
0.0,0.6,292.08333333333337,0.09167079389798592,110.0,135.5777460770328
0.1,0.6,778.8888888888889,0.5042496676275328,0.0,0.0
0.2,0.6,55.63492063492064,0.4915960029075899,0.0,0.0
0.3,0.6,300.0,0.06712386305670509,0.0,0.0
0.4,0.6,778.8888888888889,0.7548716639950899,90.0,41.59771754636233
0.5,0.6,250.35714285714283,0.4381345318970498,30.0,43.13837375178317
0.6,0.6,584.1666666666667,0.912345163644267,60.0,36.975748930099854
0.8,0.6,269.61538461538464,0.8255154296814682,80.0,106.81883024251069
0.0,0.7,292.08333333333337,0.048614380577605386,-130.0,-160.22824536376604
0.1,0.7,539.2307692307693,0.5352361753330465,-10.0,-6.676176890156918
0.2,0.7,300.0,0.39181382699568146,0.0,0.0
0.3,0.7,300.0,0.45116832326020023,0.0,0.0
0.4,0.7,637.2727272727273,0.5323816537756245,110.0,62.139800285306706
0.5,0.7,318.6363636363636,0.6576373867104208,40.0,45.1925820256776
0.6,0.7,467.3333333333333,0.9237368952520029,60.0,46.21968616262482
0.8,0.7,280.4,0.7935794810063131,80.0,102.71041369472184
0.0,0.8,280.4,0.08361976845333471,60.0,77.03281027104138
0.1,0.8,539.2307692307693,0.6388111467316264,-10.0,-6.676176890156918
0.2,0.8,300.0,0.390912090674274,0.0,0.0
0.3,0.8,300.0,0.16622608082937274,-10.0,-12.0
0.4,0.8,876.25,0.347877586847613,100.0,41.08416547788873
0.5,0.8,368.9473684210526,0.8822665965070842,30.0,29.272467902995725
0.6,0.8,389.44444444444446,0.9404819954644161,60.0,55.46362339514978
0.8,0.8,259.6296296296296,0.8047639793655141,70.0,97.06134094151214
0.0,0.9,280.4,0.07404775496369546,20.0,25.67760342368046
0.1,0.9,500.71428571428567,0.6624301009506521,-10.0,-7.189728958630528
0.2,0.9,300.0,0.29061598640290554,0.0,0.0
0.3,0.9,300.0,0.06704899808368052,-10.0,-12.0
0.4,0.9,778.8888888888889,0.4176546581657373,200.0,92.43937232524964
0.5,0.9,368.9473684210526,0.9026077845000694,30.0,29.272467902995725
0.6,0.9,368.9473684210526,0.9580358807421883,50.0,48.78744650499287
0.8,0.9,241.72413793103448,0.8774916890170786,70.0,104.25106990014265
0.0,1.0,280.4,0.054746584844488716,-120.0,-154.06562054208277
0.1,1.0,500.71428571428567,0.6570266829527236,0.0,0.0
0.2,1.0,300.0,0.05167503574247305,0.0,0.0
0.3,1.0,300.0,-0.15359005019635846,-140.0,-168.0
0.4,1.0,710.0000000000001,0.12538630565739617,50.0,25.352112676056333
0.5,1.0,368.9473684210526,0.9159138158504523,30.0,29.272467902995725
0.6,1.0,368.9473684210526,0.9544640738845469,50.0,48.78744650499287
0.8,1.0,241.72413793103448,0.8526926011958046,70.0,104.25106990014265
