eb,qb,tau_lr1,pc_lr1,c0_lr1,tau_lr2,pc_lr2,c0_lr2,tau_r12,pc_r12,c0_r12
0.8,0.2,100.0,-0.12365008493384975,-0.08157789993591064,200.0,0.08860665041080985,-0.051620387072142795,0.0,0.31002067944560885,0.31002067944560885
0.0,0.3,150.0,0.07998079048704354,-0.044274897125640936,-160.0,-0.05148750705544265,0.01763678523522524,-140.0,0.8343845419078639,-0.45965686866848604
0.1,0.3,120.0,-0.5474165801155874,-0.029323847462116942,-80.0,-0.38211363264615816,-0.10381284050867019,-200.0,0.3855473264663718,0.0649399867825961
0.2,0.3,-10.0,0.6482787739005766,-0.3466415717839725,10.0,0.4655518315781706,-0.1618707805441002,-30.0,-0.4769896217939879,-0.17686835330859116
0.3,0.3,0.0,-0.16512340022570415,-0.16512340022570415,90.0,0.09722117466445368,0.045925592569522944,0.0,0.5680595696535587,0.5680595696535587
0.4,0.3,-140.0,-0.12928273778357216,-0.10778622756335247,-130.0,0.1387867580677968,0.10568256738243406,10.0,-0.18245201436411823,-0.149775256549409
0.5,0.3,130.0,0.08854264162764498,0.015974987482234908,-70.0,-0.10603003191894418,0.006310106327563009,-160.0,-0.11529966824487017,0.0824763563515283
0.6,0.3,-200.0,-0.08849873285812296,0.041973915310238114,10.0,-0.09519728857744764,-0.04026721032033223,0.0,0.30935640625741634,0.30935640625741634
0.8,0.3,10.0,-0.738674376562019,-0.7364002619295706,-200.0,0.4711124200467661,-0.06938065460145038,-200.0,-0.3542211237686459,0.29688464968714645
0.0,0.4,-60.0,0.08943075393781685,0.030112425339610973,110.0,0.11642383232597571,0.034381108251609664,160.0,0.6954784179086907,-0.23405291744548562
0.1,0.4,40.0,-0.6009926859209445,-0.5744092543893069,-200.0,-0.3867686655906536,0.26773837292665936,-200.0,0.36807852413811004,-0.09544977841519264
0.2,0.4,-10.0,-0.2534426163347005,-0.24331712435202413,-50.0,-0.08920923970171458,0.015029192175670787,0.0,0.16896047024334082,0.16896047024334082
0.3,0.4,-200.0,-0.35873416430207145,-0.2018941096747218,-140.0,-0.2704659383653446,-0.10873400402261917,0.0,0.7650375459962567,0.7650375459962567
